I am a perfectionist	oeps	1
I strive for efficiency	oeps	1
I often have to redo other peoples work	oeps	1
I keep my belongings in order	oeps	1
My relationships with others are what my life is about	oeps	2
I have difficulty saying no	oeps	2
I get lots of satisfaction from helping others achieve their goals	oeps	2
I put family first	oeps	2
I put work first	oeps	3
I like to stand out	oeps	3
It is good to wake up to a full day of planned activities	oeps	3
Money is important to my happiness	oeps	3
I daydream about being in love	oeps	4
I really enjoy feeling bitter sweet	oeps	4
I cry	oeps	4
I side with the rebels over the establishment	oeps	4
I have a hard time showing emotions	oeps	5
I spend hours alone with my hobbies	oeps	5
I spend most of my time trying to understand things	oeps	5
I like mental challenges	oeps	5
Fear of being taken advantage of keeps me from being more trusting	oeps	6
I get input from others before I make a decision	oeps	6
I conform	oeps	6
I am loyal	oeps	6
I must always be having new experiences	oeps	7
I can keep a conversation going with anyone about anything	oeps	7
I am uninhibited	oeps	7
I always try to break the tension with a good joke	oeps	7
I naturally emerge as a leader	oeps	8
I like a conversation where no one agrees	oeps	8
I want people to tell me the truth, not spare my feelings	oeps	8
I prefer it when leaders are decisive	oeps	8
When other people are arguing, I leave the room	oeps	9
I keep my thoughts to myself, to prevent trouble	oeps	9
I am very accepting and flexible	oeps	9
I avoid confrontation	oeps	9
