I keep things organized	teme	1
I am punctual and prefer being early to being late	teme	1
I tend to follow the rules	teme	1
I do my best to keep my word	teme	1
I am articulate and care about grammar, spelling, and punctuation	teme	1
I see things as being mostly black-and-white - they are good or bad, right or wrong	teme	1
I am honest, sincere, and value fairness	teme	1
I worry about many things, especially inconsistencies	teme	1
I am practical and realistic	teme	1
I often prioritize others' needs over my own	teme	2
I like to get along with people	teme	2
I can be sensitive at times	teme	2
I like to make other people happy	teme	2
I hate to feel lonely	teme	2
I am agreeable and tend to adapt to those around me	teme	2
I prefer that relationships be harmonious	teme	2
"It is better to give than to receive"	teme	2
I sometimes find it difficult to watch violence on TV	teme	2
I like to stay busy	teme	3
I frequently finish projects early	teme	3
I will continue working even when I don't feel well	teme	3
I rarely get bored	teme	3
I am happy with who I am	teme	3
I tend to make a good first impression	teme	3
I am willing to work late to meet deadlines	teme	3
Others sometimes look to me for direction	teme	3
Schedules and to-do lists help me keep on track and get things done	teme	3
I like it when people understand me	teme	4
Current events sometimes make me depressed and even upset	teme	4
I want to be there for my friends when they are sad	teme	4
I tend to be intuitive and idealistic	teme	4
I like sincere people who have integrity	teme	4
I am unique and tend to be a bit of a non-conformist	teme	4
I am emotional and my feelings are easily hurt	teme	4
I sometimes get lost in a pit of depression	teme	4
I can be controlling at times	teme	4
I enjoy reading, learning, and watching	teme	5
I am individualistic and not afraid to be different	teme	5
I prefer ideas to material possessions	teme	5
It's fun to be like a fly on the wall	teme	5
Crowds tend to wear me out	teme	5
I tend to come out of my shell only around those with shared interests	teme	5
I dislike loud people	teme	5
I can be cynical and skpetical of others' expertise	teme	5
Sometimes I hide my inner conflict behind a calm exterior	teme	5
I am alert and cautious	teme	6
I tend to doubt those in authority	teme	6
I am usually a bit more serious than other people	teme	6
I can sometimes be my own worst enemy	teme	6
I try to follow the rules, but sometimes need to break them	teme	6
I work hard and am supportive of others	teme	6
I sometimes worry, even when things are going well	teme	6
I suspect that fake, pretentious people are hiding something	teme	6
"Flattery will get you nowhere"	teme	6
I am upbeat and energetic	teme	7
I am fearless and willing to take risks	teme	7
I try to be likeable and tend to like others as well	teme	7
I tend to have a variety of interests	teme	7
I don't like to be fenced in with obligations	teme	7
I love adventure and new experiences	teme	7
In some ways, I am a "jack of all trades"	teme	7
I am uninhibited and feel free to speak my mind	teme	7
I am extraverted and feel comfortable in crowds	teme	7
I tend to be assertive and even aggressive at times	teme	8
I dislike it when people try to manipulate me	teme	8
I am independent and my own boss	teme	8
I can be argumentative and am not afraid to fight	teme	8
I overindulge at times	teme	8
I work hard and am protective of the ones I love	teme	8
I tell people exactly what I think and don't "pull punches"	teme	8
I am decisive and unshakeable	teme	8
"Nice guys finish last"	teme	8
I can be indecisive at times	teme	9
I enjoy being in harmony with people and nature	teme	9
It's easier to do quick unimportant tasks than the big important ones	teme	9
I reject attempts to control me	teme	9
I can be a bit of a packrat at times	teme	9
It can be difficult getting started, but once I'm going it's hard to stop	teme	9
I tend to avoid conflict	teme	9
I have a positive outlook on life	teme	9
I am supportive and a good listener	teme	9
